ID,Sequence,Title,Notes,All_Day,Anchor_Type,SY_Month,SY_Day,SY_Start_Year,Origin_Gregorian_Date,Gregorian_First_Year,ShowOnCalendar,ShowInInspector,ShowNotesOnCalendar,Category,Rank,GY_Month,GY_Day,Nth,Weekday,Offset_Days,End_Gregorian_Date,End_TZ
"OneOFF_MiAViG_MiA,ViG_-_Event_#_62",620,"MiA,ViG - Event # 62","Mars in Aries, Venus in Gemini - Instance 62 of the Constellation of This",TRUE,GY_ONEOFF,,,0486,2479-08-09 00:00:00,2479,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,8,9,,,,2479-08-31 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_63",630,"MiA,ViG - Event # 63","Mars in Aries, Venus in Gemini - Instance 63 of the Constellation of This",TRUE,GY_ONEOFF,,,0488,2481-07-11 00:00:00,2481,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,7,11,,,,2481-07-27 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_64",640,"MiA,ViG - Event # 64","Mars in Aries, Venus in Gemini - Instance 64 of the Constellation of This",TRUE,GY_ONEOFF,,,0490,2483-06-11 00:00:00,2483,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,6,11,,,,2483-07-04 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_65",650,"MiA,ViG - Event # 65","Mars in Aries, Venus in Gemini - Instance 65 of the Constellation of This",TRUE,GY_ONEOFF,,,0492,2485-05-15 00:00:00,2485,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,5,15,,,,2485-06-10 00:00:00,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
